Area,death_number,pdeath_number,Areacode,Population,Male,pMale,Female,pFemale,White,pWhite,Black,pBlack,Asian,pAsian,Household1-4,pH1-4,Household5ormore,p5_abv,Workfromhome,pWFH,Publictransport,pPublicT,Privatetravel,pPrivT,Workingage,pWorkage,Retirementage,pRetage
Adur,113,0.18,E07000223,61182,29513,48.24,31669,51.76,58663,95.88,313,0.51,1058,1.73,25679,41.97,1278,2.09,1558,2.55,5547,9.07,22074,36.08,35644,58.26,13434,21.96
Allerdale,384,0.4,E07000026,96422,47371,49.13,49051,50.87,95385,98.92,73,0.08,477,0.49,40274,41.77,2071,2.15,3217,3.34,5808,6.02,36756,38.12,57621,59.76,20033,20.78
Amber Valley,445,0.36,E07000032,122309,60192,49.21,62117,50.79,120023,98.13,253,0.21,929,0.76,49973,40.86,2623,2.14,3024,2.47,6791,5.55,49310,40.32,74900,61.24,22779,18.62
Arun,439,0.29,E07000224,149518,71303,47.69,78215,52.31,145118,97.06,538,0.36,2116,1.42,63455,42.44,3251,2.17,4133,2.76,9279,6.21,53574,35.83,83697,55.98,39328,26.3
Ashfield,467,0.39,E07000170,119497,58665,49.09,60832,50.91,116733,97.69,472,0.39,1099,0.92,48229,40.36,2702,2.26,1874,1.57,8516,7.13,44648,37.36,73486,61.5,20238,16.94
Ashford,434,0.37,E07000105,117956,57232,48.52,60724,51.48,110520,93.7,1375,1.17,3991,3.38,44272,37.53,3515,2.98,3995,3.39,8642,7.33,44595,37.81,70279,59.58,19968,16.93
Babergh,301,0.34,E07000200,87740,43004,49.01,44736,50.99,85845,97.84,264,0.3,666,0.76,35465,40.42,2057,2.34,3252,3.71,4531,5.16,34205,38.98,50743,57.83,18756,21.38
Barking and Dagenham,595,0.32,E09000002,185911,90237,48.54,95674,51.46,108386,58.3,37140,19.98,29594,15.92,60988,32.8,8693,4.68,1679,0.9,37865,20.37,35239,18.95,113046,60.81,19321,10.39
Barnet,972,0.27,E09000003,356386,172676,48.45,183710,51.55,228553,64.13,27431,7.7,65918,18.5,121145,33.99,14771,4.14,12601,3.54,79521,22.31,77197,21.66,225881,63.38,47432,13.31
Barnsley,"1,152",0.5,E08000016,231221,113634,49.15,117587,50.85,226285,97.87,1221,0.53,1661,0.72,95905,41.48,4829,2.09,3516,1.52,16935,7.32,82655,35.75,142521,61.64,40010,17.3
Barrow-in-Furness,252,0.36,E07000027,69087,34185,49.48,34902,50.52,67940,98.34,70,0.1,633,0.92,29803,43.14,1421,2.06,839,1.21,4957,7.18,25231,36.52,41969,60.75,12955,18.75
Basildon,675,0.39,E07000066,174497,84645,48.51,89852,51.49,161677,92.65,4685,2.68,4766,2.73,67950,38.94,4796,2.75,2997,1.72,22472,12.88,57100,32.72,106685,61.14,27888,15.98
Basingstoke and Deane,375,0.22,E07000084,167799,83116,49.53,84683,50.47,155888,92.9,1909,1.14,6715,4,64961,38.71,4354,2.59,5638,3.36,13386,7.98,70642,42.1,105709,63,24151,14.39
Bassetlaw,364,0.32,E07000171,112863,56024,49.64,56839,50.36,109892,97.37,520,0.46,1255,1.11,45201,40.05,2466,2.18,2698,2.39,5662,5.02,44169,39.14,68689,60.86,20941,18.55
Bath and North East Somerset,352,0.2,E06000022,176016,86072,48.9,89944,51.1,166473,94.58,1326,0.75,4577,2.6,69011,39.21,4504,2.56,6512,3.7,12756,7.25,65058,36.96,110497,62.78,31817,18.08
Bedford,659,0.42,E06000055,157479,77312,49.09,80167,50.91,126846,80.55,6202,3.94,17932,11.39,58891,37.4,4921,3.12,4229,2.69,11711,7.44,59412,37.73,96736,61.43,24868,15.79
Bexley,743,0.32,E09000004,231997,111676,48.14,120321,51.86,189962,81.88,19624,8.46,15243,6.57,84806,36.55,7798,3.36,3997,1.72,44601,19.22,60940,26.27,140645,60.62,37212,16.04
Birmingham,"3,676",0.34,E08000025,1073045,527806,49.19,545239,50.81,621636,57.93,96360,8.98,285640,26.62,359334,33.49,51402,4.79,14402,1.34,119936,11.18,286813,26.73,660697,61.57,138213,12.88
Blaby,304,0.32,E07000129,93915,46228,49.22,47687,50.78,85451,90.99,900,0.96,5718,6.09,36309,38.66,2377,2.53,2316,2.47,5523,5.88,40235,42.84,56997,60.69,16875,17.97
